episode,reward,length
937,26.0,3
938,-5.0,1
939,-14.0,2
940,31.0,6
941,10.0,4
942,18.0,5
943,29.0,5
944,28.0,4
945,16.0,4
946,27.0,2
947,27.0,2
948,27.0,2
949,-5.0,1
950,24.0,2
951,-5.0,1
952,28.0,3
953,12.0,2
954,26.0,5
955,29.0,3
956,16.0,4
957,-5.0,1
958,15.0,4
959,29.0,4
960,-5.0,1
961,-5.0,1
962,-5.0,1
963,26.0,2
964,18.0,5
965,12.0,3
966,31.0,4
967,14.0,4
968,11.0,3
969,-5.0,1
970,14.0,3
971,-5.0,1
972,-5.0,1
973,27.0,2
974,16.0,4
975,-5.0,1
976,26.0,2
977,26.0,2
978,29.0,3
979,-5.0,1
980,28.0,3
981,11.0,3
982,-5.0,1
983,-5.0,1
984,16.0,4
985,-5.0,1
986,-5.0,1
987,-5.0,1
988,-5.0,1
989,27.0,2
990,14.0,3
991,-5.0,1
992,-5.0,1
993,-5.0,1
994,-5.0,1
995,11.0,2
996,-5.0,1
997,28.0,3
998,32.0,5
999,26.0,2
1000,-5.0,1
1001,14.0,3
1002,-5.0,1
1003,10.0,2
1004,-5.0,1
1005,-5.0,1
1006,18.0,5
1007,-5.0,1
1008,-5.0,1
1009,29.0,3
1010,24.0,2
1011,-5.0,1
1012,-5.0,1
1013,30.0,4
1014,-5.0,1
1015,29.0,3
1016,25.0,2
1017,26.0,2
1018,12.0,4
1019,-5.0,1
1020,-5.0,1
1021,26.0,2
1022,18.0,5
1023,-5.0,1
1024,27.0,2
1025,-5.0,1
1026,27.0,3
1027,11.0,2
1028,-14.0,2
1029,-5.0,1
1030,13.0,3
1031,-5.0,1
1032,-5.0,1
1033,13.0,3
1034,25.0,2
1035,-5.0,1
1036,27.0,2
1037,12.0,2
1038,27.0,3
1039,-5.0,1
1040,10.0,4
1041,-5.0,1
1042,25.0,2
1043,32.0,6
1044,11.0,2
1045,15.0,4
1046,17.0,6
1047,27.0,2
1048,-5.0,1
1049,31.0,4
1050,29.0,3
1051,27.0,2
1052,-5.0,1
1053,-5.0,1
1054,16.0,4
1055,27.0,2
1056,29.0,3
1057,24.0,2
1058,-12.0,3
1059,29.0,3
1060,29.0,3
1061,-5.0,1
1062,14.0,4
1063,11.0,2
1064,10.0,4
1065,-5.0,1
1066,28.0,3
1067,29.0,3
1068,-5.0,1
1069,-5.0,1
1070,29.0,3
1071,12.0,3
1072,33.0,5
1073,14.0,3
1074,-1.0,8
